rank,state
51,New Hampshire
1,Maine
52,Montana
52,Rhode Island
1,Delaware
53,South Dakota
53,North Dakota
54,Alaska
54,Vermont
55,Wyoming
55,Guam
56,U.S. Virgin Islands
56,American Samoa
15,California
"7,029,917",Texas
14,Florida
"6,547,629",New York
13,Pennsylvania
"6,349,097",Illinois
21,Ohio
7.4%,Georgia
NEng,North Carolina
29,Michigan
"3,605,944",New Jersey
29,Virginia
"3,574,097",Washington
29,Arizona
"3,405,565",Tennessee
47,Massachusetts
0.9%,Indiana
NEng,Missouri
41,Maryland
"1,377,529",Wisconsin
42,Colorado
"1,316,470",Minnesota
41,South Carolina
"1,235,786",Alabama
30,Louisiana
4.6%,Kentucky
NEng,Oregon
42,Oklahoma
"1,362,359",Connecticut
41,Utah
"1,328,361",Puerto Rico
40,Iowa
"1,274,923",Nevada
42,Arkansas
2.6%,Mississippi
NEng,Kansas
"1,097,379",New Mexico
43,Nebraska
"1,052,567",Idaho
43,West Virginia
"1,048,319",Hawaii
31,New Hampshire
4.3%,Maine
NEng,Montana
49,Rhode Island
"643,077",Delaware
49,South Dakota
"625,741",North Dakota
49,Alaska
"608,827",Vermont
40,Wyoming
2.8%,Guam
NEng,U.S. Virgin Islands
9,American Samoa
"15,116,205",California
9,Texas
"14,444,865",Florida
9,New York
"13,922,517",Pennsylvania
7,Illinois
4.6%,Ohio
NEast,Georgia
4,North Carolina
"20,201,249",Michigan
3,New Jersey
"19,378,102",Virginia
3,Washington
"18,976,457",Arizona
32,Tennessee
4.2%,Massachusetts
MAtl,Indiana
5,Missouri
"13,002,700",Maryland
6,Wisconsin
"12,702,379",Colorado
6,Minnesota
"12,281,054",South Carolina
43,Alabama
2.4%,Louisiana
MAtl,Kentucky
11,Oregon
"9,288,994",Oklahoma
11,Connecticut
"8,791,894",Utah
9,Puerto Rico
"8,414,350",Iowa
25,Nevada
5.7%,Arkansas
MAtl,Mississippi
4,Kansas
"42,492,943",New Mexico
4,Nebraska
"40,872,375",Idaho
4,West Virginia
"39,671,861",Hawaii
8,New Hampshire
4.0%,Maine
NEast,Montana
4,Rhode Island
"57,609,148",Delaware
4,South Dakota
"55,317,240",North Dakota
4,Alaska
"53,594,378",Vermont
3,Wyoming
4.1%,Guam
USA,U.S. Virgin Islands
3,American Samoa
"21,538,187",California
4,Texas
"18,801,310",Florida
4,New York
"15,982,378",Pennsylvania
8,Illinois
14.6%,Ohio
SAtl,Georgia
8,North Carolina
"10,711,908",Michigan
9,New Jersey
"9,687,653",Virginia
10,Washington
"8,186,453",Arizona
12,Tennessee
10.6%,Massachusetts
SAtl,Indiana
9,Missouri
"10,439,388",Maryland
10,Wisconsin
"9,535,483",Colorado
11,Minnesota
"8,049,313",South Carolina
15,Alabama
9.5%,Louisiana
SAtl,Kentucky
12,Oregon
"8,631,393",Oklahoma
12,Connecticut
"8,001,024",Utah
12,Puerto Rico
"7,078,515",Iowa
18,Nevada
7.9%,Arkansas
SAtl,Mississippi
18,Kansas
"6,177,224",New Mexico
19,Nebraska
"5,773,552",Idaho
19,West Virginia
"5,296,486",Hawaii
22,New Hampshire
7.0%,Maine
SAtl,Montana
23,Rhode Island
"5,118,425",Delaware
24,South Dakota
"4,625,364",North Dakota
26,Alaska
"4,012,012",Vermont
10,Wyoming
10.7%,Guam
SAtl,U.S. Virgin Islands
39,American Samoa
"1,793,716",California
37,Texas
"1,852,994",Florida
37,New York
"1,808,344",Pennsylvania
50,Illinois
−3.2%,Ohio
SAtl,Georgia
45,North Carolina
"989,948",Michigan
45,New Jersey
"897,934",Virginia
45,Washington
"783,600",Arizona
13,Tennessee
10.2%,Massachusetts
SAtl,Indiana
–,Missouri
"689,545",Maryland
–,Wisconsin
"601,723",Colorado
–,Minnesota
"572,059",South Carolina
–,Alabama
14.6%,Louisiana
SAtl,Kentucky
1,Oregon
"66,089,734",Oklahoma
1,Connecticut
"59,777,037",Utah
1,Puerto Rico
"51,769,160",Iowa
3,Nevada
10.6%,Arkansas
South,Mississippi
16,Kansas
"6,910,840",New Mexico
17,Nebraska
"6,346,105",Idaho
16,West Virginia
"5,689,283",Hawaii
17,New Hampshire
8.9%,Maine
ESC,Montana
24,Rhode Island
"5,024,279",Delaware
23,South Dakota
"4,779,736",North Dakota
23,Alaska
"4,447,100",Vermont
27,Wyoming
5.1%,Guam
ESC,U.S. Virgin Islands
26,American Samoa
"4,505,836",California
26,Texas
"4,339,367",Florida
25,New York
"4,041,769",Pennsylvania
33,Illinois
3.8%,Ohio
ESC,Georgia
34,North Carolina
"2,961,279",Michigan
31,New Jersey
"2,967,297",Virginia
31,Washington
"2,844,658",Arizona
49,Tennessee
−0.2%,Massachusetts
ESC,Indiana
8,Missouri
"19,402,234",Maryland
8,Wisconsin
"18,432,505",Colorado
8,Minnesota
"17,022,810",South Carolina
6,Alabama
5.3%,Louisiana
South,Kentucky
2,Oregon
"29,145,505",Oklahoma
2,Connecticut
"25,145,561",Utah
2,Puerto Rico
"20,851,820",Iowa
3,Nevada
15.9%,Arkansas
WSC,Mississippi
25,Kansas
"4,657,757",New Mexico
25,Nebraska
"4,533,372",Idaho
22,West Virginia
"4,468,976",Hawaii
41,New Hampshire
2.7%,Maine
WSC,Montana
28,Rhode Island
"3,959,353",Delaware
28,South Dakota
"3,751,351",North Dakota
27,Alaska
"3,450,654",Vermont
26,Wyoming
5.5%,Guam
WSC,U.S. Virgin Islands
33,American Samoa
"3,011,524",California
32,Texas
"2,915,918",Florida
33,New York
"2,673,400",Pennsylvania
35,Illinois
3.3%,Ohio
WSC,Georgia
5,North Carolina
"40,774,139",Michigan
5,New Jersey
"36,346,202",Virginia
5,Washington
"31,444,850",Arizona
2,Tennessee
12.2%,Massachusetts
South,Indiana
1,Missouri
"126,266,107",Maryland
1,Wisconsin
"114,555,744",Colorado
1,Minnesota
"100,236,820",South Carolina
1,Alabama
10.2%,Louisiana
USA,Kentucky
6,Oregon
"12,812,508",Oklahoma
5,Connecticut
"12,830,632",Utah
5,Puerto Rico
"12,419,293",Iowa
48,Nevada
−0.1%,Arkansas
ENC,Mississippi
7,Kansas
"11,799,448",New Mexico
7,Nebraska
"11,536,504",Idaho
7,West Virginia
"11,353,140",Hawaii
45,New Hampshire
2.3%,Maine
ENC,Montana
10,Rhode Island
"10,077,331",Delaware
8,South Dakota
"9,883,640",North Dakota
8,Alaska
"9,938,444",Vermont
46,Wyoming
2.0%,Guam
ENC,U.S. Virgin Islands
17,American Samoa
"6,785,528",California
15,Texas
"6,483,802",Florida
14,New York
"6,080,485",Pennsylvania
29,Illinois
4.7%,Ohio
ENC,Georgia
20,North Carolina
"5,893,718",Michigan
20,New Jersey
"5,686,986",Virginia
18,Washington
"5,363,675",Arizona
34,Tennessee
3.6%,Massachusetts
ENC,Indiana
3,Missouri
"47,368,533",Maryland
3,Wisconsin
"46,421,564",Colorado
2,Minnesota
"45,155,037",South Carolina
9,Alabama
2.0%,Louisiana
MWest,Kentucky
19,Oregon
"6,154,913",Oklahoma
18,Connecticut
"5,988,927",Utah
17,Puerto Rico
"5,595,211",Iowa
39,Nevada
2.8%,Arkansas
WNC,Mississippi
22,Kansas
"5,706,494",New Mexico
21,Nebraska
"5,303,925",Idaho
21,West Virginia
"4,919,479",Hawaii
19,New Hampshire
7.6%,Maine
WNC,Montana
31,Rhode Island
"3,190,369",Delaware
30,South Dakota
"3,046,355",North Dakota
30,Alaska
"2,926,324",Vermont
28,Wyoming
4.7%,Guam
WNC,U.S. Virgin Islands
35,American Samoa
"2,937,880",California
33,Texas
"2,853,118",Florida
32,New York
"2,688,418",Pennsylvania
37,Illinois
3.0%,Ohio
WNC,Georgia
37,North Carolina
"1,961,504",Michigan
38,New Jersey
"1,826,341",Virginia
38,Washington
"1,711,263",Arizona
20,Tennessee
7.4%,Massachusetts
WNC,Indiana
46,Missouri
"886,667",Maryland
46,Wisconsin
"814,180",Colorado
46,Minnesota
"754,844",South Carolina
16,Alabama
8.9%,Louisiana
WNC,Kentucky
47,Oregon
"779,094",Oklahoma
48,Connecticut
"672,591",Utah
47,Puerto Rico
"642,200",Iowa
4,Nevada
15.8%,Arkansas
WNC,Mississippi
7,Kansas
"21,616,921",New Mexico
7,Nebraska
"20,505,437",Idaho
6,West Virginia
"19,237,739",Hawaii
5,New Hampshire
5.4%,Maine
MWest,Montana
3,Rhode Island
"68,985,454",Delaware
3,South Dakota
"66,927,001",North Dakota
2,Alaska
"64,392,776",Vermont
4,Wyoming
3.1%,Guam
USA,U.S. Virgin Islands
14,American Samoa
"7,151,502",California
16,Texas
"6,392,017",Florida
20,New York
"5,130,632",Pennsylvania
9,Illinois
11.9%,Ohio
Mtn,Georgia
21,North Carolina
"5,773,714",Michigan
22,New Jersey
"5,029,196",Virginia
24,Washington
"4,301,261",Arizona
6,Tennessee
14.8%,Massachusetts
Mtn,Indiana
30,Missouri
"3,271,616",Maryland
34,Wisconsin
"2,763,885",Colorado
34,Minnesota
"2,233,169",South Carolina
1,Alabama
18.4%,Louisiana
Mtn,Kentucky
32,Oregon
"3,104,614",Oklahoma
35,Connecticut
"2,700,551",Utah
35,Puerto Rico
"1,998,257",Iowa
5,Nevada
15.0%,Arkansas
Mtn,Mississippi
36,Kansas
"2,117,522",New Mexico
36,Nebraska
"2,059,179",Idaho
36,West Virginia
"1,819,046",Hawaii
38,New Hampshire
2.8%,Maine
Mtn,Montana
38,Rhode Island
"1,839,106",Delaware
39,South Dakota
"1,567,582",North Dakota
39,Alaska
"1,293,953",Vermont
2,Wyoming
17.3%,Guam
Mtn,U.S. Virgin Islands
44,American Samoa
"1,084,225",California
44,Texas
"989,415",Florida
44,New York
"902,195",Pennsylvania
14,Illinois
9.6%,Ohio
Mtn,Georgia
50,North Carolina
"576,851",Michigan
50,New Jersey
"563,626",Virginia
50,Washington
"493,782",Arizona
44,Tennessee
2.3%,Massachusetts
Mtn,Indiana
6,Missouri
"24,919,150",Maryland
6,Wisconsin
"22,065,451",Colorado
7,Minnesota
"18,172,295",South Carolina
1,Alabama
12.9%,Louisiana
West,Kentucky
1,Oregon
"39,538,223",Oklahoma
1,Connecticut
"37,253,956",Utah
1,Puerto Rico
"33,871,648",Iowa
24,Nevada
6.1%,Arkansas
Pac,Mississippi
13,Kansas
"7,705,281",New Mexico
13,Nebraska
"6,724,540",Idaho
15,West Virginia
"5,894,121",Hawaii
7,New Hampshire
14.6%,Maine
Pac,Montana
27,Rhode Island
"4,237,256",Delaware
27,South Dakota
"3,831,074",North Dakota
28,Alaska
"3,421,399",Vermont
11,Wyoming
10.6%,Guam
Pac,U.S. Virgin Islands
40,American Samoa
"1,455,271",California
40,Texas
"1,360,301",Florida
42,New York
"1,211,537",Pennsylvania
23,Illinois
7.0%,Ohio
Pac,Georgia
48,North Carolina
"733,391",Michigan
47,New Jersey
"710,231",Virginia
48,Washington
"626,932",Arizona
36,Tennessee
3.3%,Massachusetts
Pac,Indiana
2,Missouri
"53,669,422",Maryland
2,Wisconsin
"49,880,102",Colorado
3,Minnesota
"45,025,637",South Carolina
4,Alabama
7.6%,Louisiana
West,Kentucky
2,Oregon
"78,588,572",Oklahoma
2,Connecticut
"71,945,553",Utah
3,Puerto Rico
"63,197,932",Iowa
2,Nevada
9.2%,Arkansas
USA,Mississippi
–,Kansas
"331,449,281",New Mexico
–,Nebraska
"308,745,538",Idaho
–,West Virginia
"281,421,906",Hawaii
–,New Hampshire
7.4%,Maine
NAmer,Montana
1,Rhode Island
"3,285,874",Delaware
1,South Dakota
"3,725,789",North Dakota
1,Alaska
"3,808,610",Vermont
3,Wyoming
−11.8%,Guam
I.A.,U.S. Virgin Islands
2,American Samoa
"153,836",California
2,Texas
"159,358",Florida
2,New York
"154,805",Pennsylvania
1,Illinois
−3.5%,Ohio
I.A.,Georgia
3,North Carolina
"87,146",Michigan
3,New Jersey
"106,405",Virginia
3,Washington
"108,612",Arizona
2,Tennessee
−18.1%,Massachusetts
I.A.,Indiana
4,Missouri
"49,710",Maryland
4,Wisconsin
"55,519",Colorado
5,Minnesota
"57,291",South Carolina
4,Alabama
−7.7%,Louisiana
I.A.,Kentucky
5,Oregon
"47,329",Oklahoma
5,Connecticut
"53,883",Utah
4,Puerto Rico
"69,221",Iowa
5,Nevada
−14.8%,Arkansas
I.A.,Mississippi
 ,Kansas
6,New Mexico
6,Nebraska
6,Idaho
316,West Virginia
6,Hawaii
—,New Hampshire
I.A.,Maine
–,Montana
"3,623,895",Rhode Island
–,Delaware
"4,100,954",South Dakota
–,North Dakota
"4,198,855",Alaska
–,Vermont
−11.6%,Wyoming
USA,Guam
1,U.S. Virgin Islands
1,American Samoa
52,California
2,Texas
2,Florida
38,New York
3,Pennsylvania
3,Illinois
28,Ohio
4,Georgia
4,North Carolina
26,Michigan
5,New Jersey
5,Virginia
17,Washington
6,Arizona
6,Tennessee
17,Massachusetts
7,Indiana
7,Missouri
15,Maryland
8,Wisconsin
8,Colorado
14,Minnesota
9,South Carolina
9,Alabama
14,Louisiana
10,Kentucky
10,Oregon
13,Oklahoma
11,Connecticut
11,Utah
12,Puerto Rico
12,Iowa
12,Nevada
11,Arkansas
13,Mississippi
13,Kansas
10,New Mexico
14,Nebraska
14,Idaho
9,West Virginia
15,Hawaii
16,New Hampshire
9,Maine
16,Montana
15,Rhode Island
9,Delaware
17,South Dakota
17,North Dakota
9,Alaska
18,Vermont
19,Wyoming
8,Guam
19,U.S. Virgin Islands
18,American Samoa
8,California
20,Texas
20,Florida
8,New York
21,Pennsylvania
21,Illinois
8,Ohio
22,Georgia
22,North Carolina
8,Michigan
23,New Jersey
23,Virginia
7,Washington
24,Arizona
24,Tennessee
7,Massachusetts
25,Indiana
25,Missouri
6,Maryland
26,Wisconsin
26,Colorado
6,Minnesota
27,South Carolina
27,Alabama
6,Louisiana
28,Kentucky
28,Oregon
5,Oklahoma
29,Connecticut
29,Utah
5,Puerto Rico
30,Iowa
31,Nevada
4,Arkansas
31,Mississippi
30,Kansas
32,New Mexico
32,Nebraska
4,Idaho
33,West Virginia
33,Hawaii
4,New Hampshire
34,Maine
34,Montana
4,Rhode Island
35,Delaware
35,South Dakota
4,North Dakota
36,Alaska
36,Vermont
4,Wyoming
37,Guam
37,U.S. Virgin Islands
3,American Samoa
38,California
38,Texas
3,Florida
39,New York
39,Pennsylvania
2,Illinois
40,Ohio
40,Georgia
2,North Carolina
41,Michigan
41,New Jersey
2,Virginia
42,Washington
42,Arizona
2,Tennessee
43,Massachusetts
43,Indiana
2,Missouri
44,Maryland
45,Wisconsin
2,Colorado
45,Minnesota
44,South Carolina
2,Alabama
46,Louisiana
46,Kentucky
1,Oregon
47,Oklahoma
47,Connecticut
1,Utah
48,Puerto Rico
48,Iowa
1,Nevada
49,Arkansas
49,Mississippi
1,Kansas
50,New Mexico
50,Nebraska
51,Idaho
51,West Virginia
1,Hawaii
52,New Hampshire
52,Maine
1,Montana
53,Rhode Island
53,Delaware
54,South Dakota
54,North Dakota
55,Alaska
55,Vermont
56,Wyoming
56,Guam
15,U.S. Virgin Islands
"7,029,917",American Samoa
14,California
"6,547,629",Texas
13,Florida
"6,349,097",New York
21,Pennsylvania
7.4%,Illinois
NEng,Ohio
29,Georgia
"3,605,944",North Carolina
29,Michigan
"3,574,097",New Jersey
29,Virginia
"3,405,565",Washington
47,Arizona
0.9%,Tennessee
NEng,Massachusetts
41,Indiana
"1,377,529",Missouri
42,Maryland
"1,316,470",Wisconsin
41,Colorado
"1,235,786",Minnesota
30,South Carolina
4.6%,Alabama
NEng,Louisiana
42,Kentucky
"1,362,359",Oregon
41,Oklahoma
"1,328,361",Connecticut
40,Utah
"1,274,923",Puerto Rico
42,Iowa
2.6%,Nevada
NEng,Arkansas
"1,097,379",Mississippi
43,Kansas
"1,052,567",New Mexico
43,Nebraska
"1,048,319",Idaho
31,West Virginia
4.3%,Hawaii
NEng,New Hampshire
49,Maine
"643,077",Montana
49,Rhode Island
"625,741",Delaware
49,South Dakota
"608,827",North Dakota
40,Alaska
2.8%,Vermont
NEng,Wyoming
9,Guam
"15,116,205",U.S. Virgin Islands
9,American Samoa
"14,444,865",California
9,Texas
"13,922,517",Florida
7,New York
4.6%,Pennsylvania
NEast,Illinois
4,Ohio
"20,201,249",Georgia
3,North Carolina
"19,378,102",Michigan
3,New Jersey
"18,976,457",Virginia
32,Washington
4.2%,Arizona
MAtl,Tennessee
5,Massachusetts
"13,002,700",Indiana
6,Missouri
"12,702,379",Maryland
6,Wisconsin
"12,281,054",Colorado
43,Minnesota
2.4%,South Carolina
MAtl,Alabama
11,Louisiana
"9,288,994",Kentucky
11,Oregon
"8,791,894",Oklahoma
9,Connecticut
"8,414,350",Utah
25,Puerto Rico
5.7%,Iowa
MAtl,Nevada
4,Arkansas
"42,492,943",Mississippi
4,Kansas
"40,872,375",New Mexico
4,Nebraska
"39,671,861",Idaho
8,West Virginia
4.0%,Hawaii
NEast,New Hampshire
4,Maine
"57,609,148",Montana
4,Rhode Island
"55,317,240",Delaware
4,South Dakota
"53,594,378",North Dakota
3,Alaska
4.1%,Vermont
USA,Wyoming
3,Guam
"21,538,187",U.S. Virgin Islands
4,American Samoa
"18,801,310",California
4,Texas
"15,982,378",Florida
8,New York
14.6%,Pennsylvania
SAtl,Illinois
8,Ohio
"10,711,908",Georgia
9,North Carolina
"9,687,653",Michigan
10,New Jersey
"8,186,453",Virginia
12,Washington
10.6%,Arizona
SAtl,Tennessee
9,Massachusetts
"10,439,388",Indiana
10,Missouri
"9,535,483",Maryland
11,Wisconsin
"8,049,313",Colorado
15,Minnesota
9.5%,South Carolina
SAtl,Alabama
12,Louisiana
"8,631,393",Kentucky
12,Oregon
"8,001,024",Oklahoma
12,Connecticut
"7,078,515",Utah
18,Puerto Rico
7.9%,Iowa
SAtl,Nevada
18,Arkansas
"6,177,224",Mississippi
19,Kansas
"5,773,552",New Mexico
19,Nebraska
"5,296,486",Idaho
22,West Virginia
7.0%,Hawaii
SAtl,New Hampshire
23,Maine
"5,118,425",Montana
24,Rhode Island
"4,625,364",Delaware
26,South Dakota
"4,012,012",North Dakota
10,Alaska
10.7%,Vermont
SAtl,Wyoming
39,Guam
"1,793,716",U.S. Virgin Islands
37,American Samoa
"1,852,994",California
37,Texas
"1,808,344",Florida
50,New York
−3.2%,Pennsylvania
SAtl,Illinois
45,Ohio
"989,948",Georgia
45,North Carolina
"897,934",Michigan
45,New Jersey
"783,600",Virginia
13,Washington
10.2%,Arizona
SAtl,Tennessee
–,Massachusetts
"689,545",Indiana
–,Missouri
"601,723",Maryland
–,Wisconsin
"572,059",Colorado
–,Minnesota
14.6%,South Carolina
SAtl,Alabama
1,Louisiana
"66,089,734",Kentucky
1,Oregon
"59,777,037",Oklahoma
1,Connecticut
"51,769,160",Utah
3,Puerto Rico
10.6%,Iowa
South,Nevada
16,Arkansas
"6,910,840",Mississippi
17,Kansas
"6,346,105",New Mexico
16,Nebraska
"5,689,283",Idaho
17,West Virginia
8.9%,Hawaii
ESC,New Hampshire
24,Maine
"5,024,279",Montana
23,Rhode Island
"4,779,736",Delaware
23,South Dakota
"4,447,100",North Dakota
27,Alaska
5.1%,Vermont
ESC,Wyoming
26,Guam
"4,505,836",U.S. Virgin Islands
26,American Samoa
"4,339,367",California
25,Texas
"4,041,769",Florida
33,New York
3.8%,Pennsylvania
ESC,Illinois
34,Ohio
"2,961,279",Georgia
31,North Carolina
"2,967,297",Michigan
31,New Jersey
"2,844,658",Virginia
49,Washington
−0.2%,Arizona
ESC,Tennessee
8,Massachusetts
"19,402,234",Indiana
8,Missouri
"18,432,505",Maryland
8,Wisconsin
"17,022,810",Colorado
6,Minnesota
5.3%,South Carolina
South,Alabama
2,Louisiana
"29,145,505",Kentucky
2,Oregon
"25,145,561",Oklahoma
2,Connecticut
"20,851,820",Utah
3,Puerto Rico
15.9%,Iowa
WSC,Nevada
25,Arkansas
"4,657,757",Mississippi
25,Kansas
"4,533,372",New Mexico
22,Nebraska
"4,468,976",Idaho
41,West Virginia
2.7%,Hawaii
WSC,New Hampshire
28,Maine
"3,959,353",Montana
28,Rhode Island
"3,751,351",Delaware
27,South Dakota
"3,450,654",North Dakota
26,Alaska
5.5%,Vermont
WSC,Wyoming
33,Guam
"3,011,524",U.S. Virgin Islands
32,American Samoa
"2,915,918",California
33,Texas
"2,673,400",Florida
35,New York
3.3%,Pennsylvania
WSC,Illinois
5,Ohio
"40,774,139",Georgia
5,North Carolina
"36,346,202",Michigan
5,New Jersey
"31,444,850",Virginia
2,Washington
12.2%,Arizona
South,Tennessee
1,Massachusetts
"126,266,107",Indiana
1,Missouri
"114,555,744",Maryland
1,Wisconsin
"100,236,820",Colorado
1,Minnesota
10.2%,South Carolina
USA,Alabama
6,Louisiana
"12,812,508",Kentucky
5,Oregon
"12,830,632",Oklahoma
5,Connecticut
"12,419,293",Utah
48,Puerto Rico
−0.1%,Iowa
ENC,Nevada
7,Arkansas
"11,799,448",Mississippi
7,Kansas
"11,536,504",New Mexico
7,Nebraska
"11,353,140",Idaho
45,West Virginia
2.3%,Hawaii
ENC,New Hampshire
10,Maine
"10,077,331",Montana
8,Rhode Island
"9,883,640",Delaware
8,South Dakota
"9,938,444",North Dakota
46,Alaska
2.0%,Vermont
ENC,Wyoming
17,Guam
"6,785,528",U.S. Virgin Islands
15,American Samoa
"6,483,802",California
14,Texas
"6,080,485",Florida
29,New York
4.7%,Pennsylvania
ENC,Illinois
20,Ohio
"5,893,718",Georgia
20,North Carolina
"5,686,986",Michigan
18,New Jersey
"5,363,675",Virginia
34,Washington
3.6%,Arizona
ENC,Tennessee
3,Massachusetts
"47,368,533",Indiana
3,Missouri
"46,421,564",Maryland
2,Wisconsin
"45,155,037",Colorado
9,Minnesota
2.0%,South Carolina
MWest,Alabama
19,Louisiana
"6,154,913",Kentucky
18,Oregon
"5,988,927",Oklahoma
17,Connecticut
"5,595,211",Utah
39,Puerto Rico
2.8%,Iowa
WNC,Nevada
22,Arkansas
"5,706,494",Mississippi
21,Kansas
"5,303,925",New Mexico
21,Nebraska
"4,919,479",Idaho
19,West Virginia
7.6%,Hawaii
WNC,New Hampshire
31,Maine
"3,190,369",Montana
30,Rhode Island
"3,046,355",Delaware
30,South Dakota
"2,926,324",North Dakota
28,Alaska
4.7%,Vermont
WNC,Wyoming
35,Guam
"2,937,880",U.S. Virgin Islands
33,American Samoa
"2,853,118",California
32,Texas
"2,688,418",Florida
37,New York
3.0%,Pennsylvania
WNC,Illinois
37,Ohio
"1,961,504",Georgia
38,North Carolina
"1,826,341",Michigan
38,New Jersey
"1,711,263",Virginia
20,Washington
7.4%,Arizona
WNC,Tennessee
46,Massachusetts
"886,667",Indiana
46,Missouri
"814,180",Maryland
46,Wisconsin
"754,844",Colorado
16,Minnesota
8.9%,South Carolina
WNC,Alabama
47,Louisiana
"779,094",Kentucky
48,Oregon
"672,591",Oklahoma
47,Connecticut
"642,200",Utah
4,Puerto Rico
15.8%,Iowa
WNC,Nevada
7,Arkansas
"21,616,921",Mississippi
7,Kansas
"20,505,437",New Mexico
6,Nebraska
"19,237,739",Idaho
5,West Virginia
5.4%,Hawaii
MWest,New Hampshire
3,Maine
"68,985,454",Montana
3,Rhode Island
"66,927,001",Delaware
2,South Dakota
"64,392,776",North Dakota
4,Alaska
3.1%,Vermont
USA,Wyoming
14,Guam
"7,151,502",U.S. Virgin Islands
16,American Samoa
"6,392,017",California
20,Texas
"5,130,632",Florida
9,New York
11.9%,Pennsylvania
Mtn,Illinois
21,Ohio
"5,773,714",Georgia
22,North Carolina
"5,029,196",Michigan
24,New Jersey
"4,301,261",Virginia
6,Washington
14.8%,Arizona
Mtn,Tennessee
30,Massachusetts
"3,271,616",Indiana
34,Missouri
"2,763,885",Maryland
34,Wisconsin
"2,233,169",Colorado
1,Minnesota
18.4%,South Carolina
Mtn,Alabama
32,Louisiana
"3,104,614",Kentucky
35,Oregon
"2,700,551",Oklahoma
35,Connecticut
"1,998,257",Utah
5,Puerto Rico
15.0%,Iowa
Mtn,Nevada
36,Arkansas
"2,117,522",Mississippi
36,Kansas
"2,059,179",New Mexico
36,Nebraska
"1,819,046",Idaho
38,West Virginia
2.8%,Hawaii
Mtn,New Hampshire
38,Maine
"1,839,106",Montana
39,Rhode Island
"1,567,582",Delaware
39,South Dakota
"1,293,953",North Dakota
2,Alaska
17.3%,Vermont
Mtn,Wyoming
44,Guam
"1,084,225",U.S. Virgin Islands
44,American Samoa
"989,415",California
44,Texas
"902,195",Florida
14,New York
9.6%,Pennsylvania
Mtn,Illinois
50,Ohio
"576,851",Georgia
50,North Carolina
"563,626",Michigan
50,New Jersey
"493,782",Virginia
44,Washington
2.3%,Arizona
Mtn,Tennessee
6,Massachusetts
"24,919,150",Indiana
6,Missouri
"22,065,451",Maryland
7,Wisconsin
"18,172,295",Colorado
1,Minnesota
12.9%,South Carolina
West,Alabama
1,Louisiana
"39,538,223",Kentucky
1,Oregon
"37,253,956",Oklahoma
1,Connecticut
"33,871,648",Utah
24,Puerto Rico
6.1%,Iowa
Pac,Nevada
13,Arkansas
"7,705,281",Mississippi
13,Kansas
"6,724,540",New Mexico
15,Nebraska
"5,894,121",Idaho
7,West Virginia
14.6%,Hawaii
Pac,New Hampshire
27,Maine
"4,237,256",Montana
27,Rhode Island
"3,831,074",Delaware
28,South Dakota
"3,421,399",North Dakota
11,Alaska
10.6%,Vermont
Pac,Wyoming
40,Guam
"1,455,271",U.S. Virgin Islands
40,American Samoa
"1,360,301",California
42,Texas
"1,211,537",Florida
23,New York
